gmdhg, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.093206
gmdhg, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 3463.427082
rbfg, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.092279
rbfg, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 3639.824851
lstm_seq, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.059755
lstm_seq, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 1252.535968
lstm, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.058716
lstm, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 1232.101274
reg, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, MAPErr: 0.080752
reg, trainN nikkei0704_, dataFN nikkei_1_4_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:34, Ts_sess:33, RMSErr: 3285.028968

lstm, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.064743
lstm, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 723.232704
rbfg, trainN dax0704_, dataFN dax_1_3_05_1_31_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.079439
